Marca temporal;situacion;trabaja;facultad;conoce_servicio;medio;uso_bolsa;programa_empleabilidad;satisfaccion;dificultad;caracteristicas;importancia_raw;Recomendaria_Servicio;Importancia_Numerica;situacion_enc;trabaja_enc;uso_bolsa_enc;programa_empleabilidad_enc;Cluster_DBSCAN;Cluster_MeanShift
2025/09/09 12:28:42 a. m. GMT-5;Estudiante en curso;Sí;Ingeniería de Sistemas e Informática;Sí, pero solo de manera superficial.;Correo institucional;No, nunca;No;Muy satisfecho;No sabía que existía;Recomendaciones personalizadas de empleos y talleres;5;1;5;1;1;0;0;0;1
2025/09/09 11:33:21 a. m. GMT-5;Estudiante en curso;Sí;Ingeniería de Sistemas e Informática;Sí, pero solo de manera superficial.;Página web UTP;Sí, pocas veces;No;Satisfecho;No encontré oportunidades alineadas a mi perfil;Recomendaciones personalizadas de empleos y talleres;5;1;5;1;1;1;0;0;1
2025/09/09 12:07:39 p. m. GMT-5;Estudiante en curso;No;Administración de Negocios Internacionales;Sí, lo conozco bien.;Portal de Empleabilidad / UTP+;Sí, pocas veces;Sí;Satisfecho;No encontré oportunidades alineadas a mi perfil;Asesoría virtual con chatbot o IA;5;1;5;1;0;1;1;1;0
2025/09/09 12:56:50 p. m. GMT-5;Estudiante en curso;No;Ingeniería de Sistemas e Informática;Sí, lo conozco bien.;Portal de Empleabilidad / UTP+;Sí, varias veces;No;Nada satisfecho;La información está dispersa en varias plataformas;Alertas/notificaciones de oportunidades;5;0;5;1;0;2;0;2;0
2025/09/09 1:22:53 p. m. GMT-5;Estudiante en curso;Sí;Ingeniería de Sistemas e Informática;Sí, lo conozco bien.;Portal de Empleabilidad / UTP+;Sí, varias veces;No;Nada satisfecho;No encontré oportunidades alineadas a mi perfil;un feedback para las postulaciones ;5;0;5;1;1;2;0;-1;0
2025/09/09 7:13:34 p. m. GMT-5;Estudiante en curso;No;Psicología;Sí, pero solo de manera superficial.;Correo institucional;No, nunca;No;Satisfecho;No encontré oportunidades alineadas a mi perfil;Asesoría virtual con chatbot o IA;5;1;5;1;0;0;0;1;0
2025/09/09 8:03:08 p. m. GMT-5;Estudiante en curso;Sí;Negocios Internacionales;Sí, lo conozco bien.;Redes sociales UTP;No, nunca;No;Muy satisfecho;No sabía que existía;Recomendaciones personalizadas de empleos y talleres;5;1;5;1;1;0;0;0;1
2025/09/09 8:23:36 p. m. GMT-5;Estudiante en curso;Sí;Tecnología Médica;Sí, pero solo de manera superficial.;Amigos / docentes;No, nunca;No;Poco satisfecho;El proceso de uso es complicado;Alertas/notificaciones de oportunidades;5;0;5;1;1;0;0;2;0
2025/09/09 9:33:57 p. m. GMT-5;Estudiante en curso;No;Psicología;Sí, pero solo de manera superficial.;Página web UTP;No, nunca;No;Satisfecho;La información está dispersa en varias plataformas;Alertas/notificaciones de oportunidades;4;1;4;1;0;0;0;-1;0
2025/09/10 1:44:39 a. m. GMT-5;Estudiante en curso;No;Derecho;Sí, pero solo de manera superficial.;Página web UTP;No, nunca;No;Satisfecho;El proceso de uso es complicado;Estadísticas de mi progreso en empleabilidad;3;1;3;1;0;0;0;3;0
